F 4
S 8
a 16
n0 0
f 3 6
p 128
0 3 4
0 12 1
0 1 7
0 2 7
0 4 7
0 5 7
0 6 7
0 7 7
0 8 7
0 9 7
0 10 7
0 11 7
0 13 7
0 14 7
0 15 7
0 16 7
1 13 2
1 1 7
1 2 7
1 3 7
1 4 7
1 5 7
1 6 7
1 7 7
1 8 7
1 9 7
1 10 7
1 11 7
1 12 7
1 14 7
1 15 7
1 16 7
2 7 3
2 1 7
2 2 7
2 3 7
2 4 7
2 5 7
2 6 7
2 8 7
2 9 7
2 10 7
2 11 7
2 12 7
2 13 7
2 14 7
2 15 7
2 16 7
3 1 7
3 2 7
3 3 7
3 4 7
3 5 7
3 6 7
3 7 7
3 8 7
3 9 7
3 10 7
3 11 7
3 12 7
3 13 7
3 14 7
3 15 7
3 16 7
4 12 5
4 1 7
4 2 7
4 3 7
4 4 7
4 5 7
4 6 7
4 7 7
4 8 7
4 9 7
4 10 7
4 11 7
4 13 7
4 14 7
4 15 7
4 16 7
5 7 6
5 1 7
5 2 7
5 3 7
5 4 7
5 5 7
5 6 7
5 8 7
5 9 7
5 10 7
5 11 7
5 12 7
5 13 7
5 14 7
5 15 7
5 16 7
6 1 7
6 2 7
6 3 7
6 4 7
6 5 7
6 6 7
6 7 7
6 8 7
6 9 7
6 10 7
6 11 7
6 12 7
6 13 7
6 14 7
6 15 7
6 16 7
7 1 7
7 2 7
7 3 7
7 4 7
7 5 7
7 6 7
7 7 7
7 8 7
7 9 7
7 10 7
7 11 7
7 12 7
7 13 7
7 14 7
7 15 7
7 16 7
